Review_Text,Rating
"The service was okay, but nothing exceptional. ",3
The staff was caring and attentive. I couldn't be happier. ,2
My experience was terrible. I would not recommend this provider. ,3
I have mixed feelings about my experience. ,4
The staff was caring and attentive. I couldn't be happier. ,5
The healthcare provider was excellent. I had a great experience. ,3
My experience was terrible. I would not recommend this provider. ,5
I have mixed feelings about my experience. ,5
It was an average experience. Neither good nor bad. ,1
I'm very satisfied with the service I received. Highly recommended. ,3
I'm very satisfied with the service I received. Highly recommended. ,3
My experience was terrible. I would not recommend this provider. ,5
The service was disappointing. I won't be coming back. ,4
It was an average experience. Neither good nor bad. ,1
It was an average experience. Neither good nor bad. ,5
The staff was caring and attentive. I couldn't be happier. ,2
I have mixed feelings about my experience. ,2
I had a bad experience with this healthcare provider. Avoid if possible. ,1
The service was disappointing. I won't be coming back. ,4
I'm very satisfied with the service I received. Highly recommended. ,5
The service was disappointing. I won't be coming back. ,3
,1
I had a bad experience with this healthcare provider. Avoid if possible. ,4
I had a bad experience with this healthcare provider. Avoid if possible. ,3
I'm very satisfied with the service I received. Highly recommended. ,2
,2
It was an average experience. Neither good nor bad. ,3
My experience was terrible. I would not recommend this provider. ,1
,2
The healthcare provider was excellent. I had a great experience. ,5
I'm very satisfied with the service I received. Highly recommended. ,3
The healthcare provider was excellent. I had a great experience. ,3
I'm very satisfied with the service I received. Highly recommended. ,2
The healthcare provider was excellent. I had a great experience. ,1
The staff was caring and attentive. I couldn't be happier. ,5
I'm very satisfied with the service I received. Highly recommended. ,1
The service was disappointing. I won't be coming back. ,4
"The service was okay, but nothing exceptional. ",4
The staff was caring and attentive. I couldn't be happier. ,2
My experience was terrible. I would not recommend this provider. ,2
,2
It was an average experience. Neither good nor bad. ,4
I'm very satisfied with the service I received. Highly recommended. ,1
I have mixed feelings about my experience. ,1
The healthcare provider was excellent. I had a great experience. ,2
The service was disappointing. I won't be coming back. ,5
The service was disappointing. I won't be coming back. ,1
My experience was terrible. I would not recommend this provider. ,4
My experience was terrible. I would not recommend this provider. ,3
I have mixed feelings about my experience. ,3
The healthcare provider was excellent. I had a great experience. ,3
The healthcare provider was excellent. I had a great experience. ,5
It was an average experience. Neither good nor bad. ,2
I'm very satisfied with the service I received. Highly recommended. ,4
,5
The staff was caring and attentive. I couldn't be happier. ,4
I had a bad experience with this healthcare provider. Avoid if possible. ,4
I have mixed feelings about my experience. ,2
The healthcare provider was excellent. I had a great experience. ,3
I have mixed feelings about my experience. ,2
The healthcare provider was excellent. I had a great experience. ,5
,5
It was an average experience. Neither good nor bad. ,5
The staff was caring and attentive. I couldn't be happier. ,2
The service was disappointing. I won't be coming back. ,4
,4
,1
I'm very satisfied with the service I received. Highly recommended. ,5
The staff was caring and attentive. I couldn't be happier. ,4
The healthcare provider was excellent. I had a great experience. ,1
I had a bad experience with this healthcare provider. Avoid if possible. ,4
The staff was caring and attentive. I couldn't be happier. ,5
I have mixed feelings about my experience. ,3
"The service was okay, but nothing exceptional. ",5
I'm very satisfied with the service I received. Highly recommended. ,2
I'm very satisfied with the service I received. Highly recommended. ,4
It was an average experience. Neither good nor bad. ,4
My experience was terrible. I would not recommend this provider. ,2
The staff was caring and attentive. I couldn't be happier. ,2
I'm very satisfied with the service I received. Highly recommended. ,3
It was an average experience. Neither good nor bad. ,4
I'm very satisfied with the service I received. Highly recommended. ,4
The service was disappointing. I won't be coming back. ,3
It was an average experience. Neither good nor bad. ,1
,3
It was an average experience. Neither good nor bad. ,5
The staff was caring and attentive. I couldn't be happier. ,4
I'm very satisfied with the service I received. Highly recommended. ,2
,5
The service was disappointing. I won't be coming back. ,4
I had a bad experience with this healthcare provider. Avoid if possible. ,3
I have mixed feelings about my experience. ,5
I'm very satisfied with the service I received. Highly recommended. ,4
The staff was caring and attentive. I couldn't be happier. ,1
I had a bad experience with this healthcare provider. Avoid if possible. ,1
The healthcare provider was excellent. I had a great experience. ,2
I had a bad experience with this healthcare provider. Avoid if possible. ,4
The staff was caring and attentive. I couldn't be happier. ,1
,3
I'm very satisfied with the service I received. Highly recommended. ,4
The healthcare provider was excellent. I had a great experience. ,3
My experience was terrible. I would not recommend this provider. ,3
I'm very satisfied with the service I received. Highly recommended. ,1
I'm very satisfied with the service I received. Highly recommended. ,4
The service was disappointing. I won't be coming back. ,5
It was an average experience. Neither good nor bad. ,1
"The service was okay, but nothing exceptional. ",1
My experience was terrible. I would not recommend this provider. ,4
I had a bad experience with this healthcare provider. Avoid if possible. ,4
I had a bad experience with this healthcare provider. Avoid if possible. ,3
My experience was terrible. I would not recommend this provider. ,4
I had a bad experience with this healthcare provider. Avoid if possible. ,3
"The service was okay, but nothing exceptional. ",1
I have mixed feelings about my experience. ,2
I had a bad experience with this healthcare provider. Avoid if possible. ,5
I'm very satisfied with the service I received. Highly recommended. ,1
I had a bad experience with this healthcare provider. Avoid if possible. ,4
The staff was caring and attentive. I couldn't be happier. ,5
My experience was terrible. I would not recommend this provider. ,2
The service was disappointing. I won't be coming back. ,2
I have mixed feelings about my experience. ,3
The healthcare provider was excellent. I had a great experience. ,5
The staff was caring and attentive. I couldn't be happier. ,3
It was an average experience. Neither good nor bad. ,1
I have mixed feelings about my experience. ,5
It was an average experience. Neither good nor bad. ,1
"The service was okay, but nothing exceptional. ",3
The staff was caring and attentive. I couldn't be happier. ,5
The staff was caring and attentive. I couldn't be happier. ,3
The service was disappointing. I won't be coming back. ,5
The service was disappointing. I won't be coming back. ,3
"The service was okay, but nothing exceptional. ",2
,3
,2
I had a bad experience with this healthcare provider. Avoid if possible. ,3
,5
I had a bad experience with this healthcare provider. Avoid if possible. ,5
My experience was terrible. I would not recommend this provider. ,5
My experience was terrible. I would not recommend this provider. ,4
The service was disappointing. I won't be coming back. ,1
My experience was terrible. I would not recommend this provider. ,5
It was an average experience. Neither good nor bad. ,2
I have mixed feelings about my experience. ,5
I have mixed feelings about my experience. ,4
I have mixed feelings about my experience. ,2
My experience was terrible. I would not recommend this provider. ,4
The healthcare provider was excellent. I had a great experience. ,2
The service was disappointing. I won't be coming back. ,3
I'm very satisfied with the service I received. Highly recommended. ,1
I have mixed feelings about my experience. ,1
I had a bad experience with this healthcare provider. Avoid if possible. ,4
"The service was okay, but nothing exceptional. ",1
The service was disappointing. I won't be coming back. ,4
I have mixed feelings about my experience. ,4
The staff was caring and attentive. I couldn't be happier. ,4
The healthcare provider was excellent. I had a great experience. ,1
,4
My experience was terrible. I would not recommend this provider. ,1
The healthcare provider was excellent. I had a great experience. ,4
The service was disappointing. I won't be coming back. ,5
The healthcare provider was excellent. I had a great experience. ,4
,2
I had a bad experience with this healthcare provider. Avoid if possible. ,4
The service was disappointing. I won't be coming back. ,3
The healthcare provider was excellent. I had a great experience. ,4
My experience was terrible. I would not recommend this provider. ,2
The staff was caring and attentive. I couldn't be happier. ,2
The service was disappointing. I won't be coming back. ,1
It was an average experience. Neither good nor bad. ,5
"The service was okay, but nothing exceptional. ",4
"The service was okay, but nothing exceptional. ",1
I have mixed feelings about my experience. ,5
"The service was okay, but nothing exceptional. ",4
The healthcare provider was excellent. I had a great experience. ,3
,4
It was an average experience. Neither good nor bad. ,2
It was an average experience. Neither good nor bad. ,2
"The service was okay, but nothing exceptional. ",3
The service was disappointing. I won't be coming back. ,1
The staff was caring and attentive. I couldn't be happier. ,5
"The service was okay, but nothing exceptional. ",4
It was an average experience. Neither good nor bad. ,2
,1
The healthcare provider was excellent. I had a great experience. ,3
My experience was terrible. I would not recommend this provider. ,2
The staff was caring and attentive. I couldn't be happier. ,3
The service was disappointing. I won't be coming back. ,4
"The service was okay, but nothing exceptional. ",5
"The service was okay, but nothing exceptional. ",2
,2
The staff was caring and attentive. I couldn't be happier. ,4
My experience was terrible. I would not recommend this provider. ,1
My experience was terrible. I would not recommend this provider. ,5
I'm very satisfied with the service I received. Highly recommended. ,2
,5
I'm very satisfied with the service I received. Highly recommended. ,2
The service was disappointing. I won't be coming back. ,5
,3
I'm very satisfied with the service I received. Highly recommended. ,2
I'm very satisfied with the service I received. Highly recommended. ,5
The service was disappointing. I won't be coming back. ,1
My experience was terrible. I would not recommend this provider. ,3
I had a bad experience with this healthcare provider. Avoid if possible. ,3
The healthcare provider was excellent. I had a great experience. ,1
I had a bad experience with this healthcare provider. Avoid if possible. ,5
My experience was terrible. I would not recommend this provider. ,4
The staff was caring and attentive. I couldn't be happier. ,1
"The service was okay, but nothing exceptional. ",5
I'm very satisfied with the service I received. Highly recommended. ,1
My experience was terrible. I would not recommend this provider. ,1
The healthcare provider was excellent. I had a great experience. ,2
"The service was okay, but nothing exceptional. ",5
The staff was caring and attentive. I couldn't be happier. ,4
,2
It was an average experience. Neither good nor bad. ,1
My experience was terrible. I would not recommend this provider. ,1
"The service was okay, but nothing exceptional. ",1
"The service was okay, but nothing exceptional. ",5
I'm very satisfied with the service I received. Highly recommended. ,5
I'm very satisfied with the service I received. Highly recommended. ,2
,4
The staff was caring and attentive. I couldn't be happier. ,2
I'm very satisfied with the service I received. Highly recommended. ,3
I have mixed feelings about my experience. ,1
The healthcare provider was excellent. I had a great experience. ,1
It was an average experience. Neither good nor bad. ,1
It was an average experience. Neither good nor bad. ,2
"The service was okay, but nothing exceptional. ",2
My experience was terrible. I would not recommend this provider. ,1
The service was disappointing. I won't be coming back. ,2
I had a bad experience with this healthcare provider. Avoid if possible. ,5
I have mixed feelings about my experience. ,5
My experience was terrible. I would not recommend this provider. ,2
My experience was terrible. I would not recommend this provider. ,1
The healthcare provider was excellent. I had a great experience. ,2
I had a bad experience with this healthcare provider. Avoid if possible. ,2
The service was disappointing. I won't be coming back. ,2
"The service was okay, but nothing exceptional. ",3
"The service was okay, but nothing exceptional. ",5
It was an average experience. Neither good nor bad. ,4
"The service was okay, but nothing exceptional. ",4
"The service was okay, but nothing exceptional. ",3
It was an average experience. Neither good nor bad. ,2
I had a bad experience with this healthcare provider. Avoid if possible. ,3
It was an average experience. Neither good nor bad. ,3
It was an average experience. Neither good nor bad. ,1
The healthcare provider was excellent. I had a great experience. ,5
My experience was terrible. I would not recommend this provider. ,4
I had a bad experience with this healthcare provider. Avoid if possible. ,2
My experience was terrible. I would not recommend this provider. ,4
It was an average experience. Neither good nor bad. ,4
"The service was okay, but nothing exceptional. ",5
"The service was okay, but nothing exceptional. ",4
The staff was caring and attentive. I couldn't be happier. ,4
,3
I'm very satisfied with the service I received. Highly recommended. ,5
The service was disappointing. I won't be coming back. ,1
"The service was okay, but nothing exceptional. ",2
I'm very satisfied with the service I received. Highly recommended. ,4
I'm very satisfied with the service I received. Highly recommended. ,2
"The service was okay, but nothing exceptional. ",1
,2
I had a bad experience with this healthcare provider. Avoid if possible. ,1
I had a bad experience with this healthcare provider. Avoid if possible. ,3
The staff was caring and attentive. I couldn't be happier. ,4
The healthcare provider was excellent. I had a great experience. ,1
The staff was caring and attentive. I couldn't be happier. ,2
The healthcare provider was excellent. I had a great experience. ,4
The service was disappointing. I won't be coming back. ,3
I have mixed feelings about my experience. ,4
I'm very satisfied with the service I received. Highly recommended. ,1
,3
I had a bad experience with this healthcare provider. Avoid if possible. ,2
It was an average experience. Neither good nor bad. ,3
I have mixed feelings about my experience. ,3
The service was disappointing. I won't be coming back. ,5
My experience was terrible. I would not recommend this provider. ,3
"The service was okay, but nothing exceptional. ",3
I'm very satisfied with the service I received. Highly recommended. ,4
"The service was okay, but nothing exceptional. ",2
I had a bad experience with this healthcare provider. Avoid if possible. ,4
The staff was caring and attentive. I couldn't be happier. ,4
The staff was caring and attentive. I couldn't be happier. ,1
The service was disappointing. I won't be coming back. ,4
The service was disappointing. I won't be coming back. ,5
,5
"The service was okay, but nothing exceptional. ",1
"The service was okay, but nothing exceptional. ",2
I'm very satisfied with the service I received. Highly recommended. ,2
I had a bad experience with this healthcare provider. Avoid if possible. ,4
,4
The staff was caring and attentive. I couldn't be happier. ,4
The staff was caring and attentive. I couldn't be happier. ,2
,3
I had a bad experience with this healthcare provider. Avoid if possible. ,5
I'm very satisfied with the service I received. Highly recommended. ,3
The service was disappointing. I won't be coming back. ,3
,2
"The service was okay, but nothing exceptional. ",3
The service was disappointing. I won't be coming back. ,1
It was an average experience. Neither good nor bad. ,4
My experience was terrible. I would not recommend this provider. ,1
My experience was terrible. I would not recommend this provider. ,5
The service was disappointing. I won't be coming back. ,4
"The service was okay, but nothing exceptional. ",3
I have mixed feelings about my experience. ,5
The staff was caring and attentive. I couldn't be happier. ,4
